Player,Cmp,Att_Total,Cmp%,TotDist,PrgDist,Ast,xAG,xA,A-xAG,KP,P_Final3rd,PPA,CrsPA,PrP
Rodri,3365,3656,92,57256,15766,9,3.9,6.1,5.1,49,378,61,0,376
Martin Ødegaard,1692,2006,84.3,25780,7898,10,9.6,11.2,0.4,102,160,130,13,344
Pascal Groß,2774,3223,86.1,42905,13360,10,8.1,9.2,1.9,103,242,73,27,302
Bruno Fernandes,1590,2179,73,28404,10273,8,11.8,10.2,-3.8,114,187,89,10,297
Bruno Guimarães,1941,2313,83.9,33351,9336,8,6.4,6.3,1.6,62,184,70,5,283
Declan Rice,2041,2295,88.9,34242,9378,8,5.3,4.8,2.7,47,240,39,2,278
Oleksandr Zinchenko,1374,1568,87.6,23132,6928,2,2.5,2.9,-0.5,29,154,49,4,229
James Maddison,1210,1500,80.7,19513,6251,9,5.9,6.3,3.1,67,130,59,3,224
Enzo Fernández,1574,1862,84.5,28776,8415,2,3.4,3.7,-1.4,32,177,43,4,210
Alexis Mac Allister,1704,1967,86.6,26565,7659,5,3.6,4.9,1.4,47,162,41,2,209
Trent Alexander-Arnold,1553,2062,75.3,30386,12434,4,7.2,6.1,-3.2,64,202,57,18,205
Virgil van Dijk,2640,2887,91.4,49290,18943,2,1.6,1,0.4,11,213,10,0,200
Cole Palmer,1121,1415,79.2,18622,5642,11,11.1,8.7,-0.1,72,136,69,5,197
Pedro Porro,1806,2369,76.2,27440,10519,7,7.2,6,-0.2,51,135,48,10,194
Billy Gilmour,1915,2107,90.9,29399,7671,1,2,2.5,-1,22,183,33,3,193
Ben White,1828,2177,84,28002,9801,4,3.8,3.7,0.2,38,172,45,10,192
John McGinn,972,1223,79.5,17953,5844,4,4.6,4.9,-0.6,44,124,52,14,189
Lucas Paquetá,1082,1465,73.9,16561,5842,6,5.4,5.1,0.6,43,143,50,8,187
Cristian Romero,2390,2606,91.7,41458,16198,0,0.4,1.5,-0.4,7,189,14,0,179
Bernardo Silva,1671,1936,86.3,25138,5246,9,7.6,8,1.4,64,100,49,10,177
Moisés Caicedo,1907,2119,90,29696,8181,3,2.6,2,0.4,23,176,20,0,173
Rúben Dias,2469,2635,93.7,42764,13568,0,0.3,1.9,-0.3,7,220,12,3,173
Conor Gallagher,1801,2018,89.2,26732,5954,7,5,3.5,2,52,135,32,4,172
Morgan Gibbs-White,1045,1480,70.6,18412,6092,10,8.4,6.8,1.6,74,114,39,13,170
Yves Bissouma,1689,1842,91.7,25078,7214,0,0.4,1.7,-0.4,11,156,12,0,169
Phil Foden,1511,1767,85.5,20347,3769,8,8.4,6.9,-0.4,73,71,57,5,168
Douglas Luiz,1800,2101,85.7,31199,7807,5,5.4,5.3,-0.4,53,137,39,8,168
Ryan Christie,988,1300,76,18802,5120,5,5.4,5.4,-0.4,55,118,42,7,167
Sander Berge,1376,1562,88.1,24429,5168,2,2.4,1.6,-0.4,29,129,16,1,164
Ross Barkley,1218,1474,82.6,21602,6544,4,3.7,2.7,0.3,44,138,27,1,163
Christian Nørgaard,1199,1501,79.9,19114,6144,1,1.9,2.4,-0.9,24,113,26,4,161
William Saliba,2635,2851,92.4,43599,15948,1,0.2,0.9,0.8,6,175,6,1,157
Kieran Trippier,1624,2130,76.2,29797,10999,10,7.5,7.1,2.5,65,111,52,19,157
Kyle Walker,2128,2404,88.5,36091,8306,4,2.6,3.2,1.4,25,199,32,13,157
Destiny Udogie,1235,1440,85.8,16731,5145,3,2.2,2,0.8,24,115,13,0,155
Willian,932,1145,81.4,16128,3848,2,3.9,4.5,-1.9,44,59,69,9,153
Lewis Dunk,2977,3233,92.1,50791,19478,1,0.9,2.2,0.1,13,204,8,1,152
Dominik Szoboszlai,1280,1550,82.6,20367,4929,2,5.8,5.1,-3.8,56,98,33,6,152
Pape Matar Sarr,1179,1349,87.4,17118,4177,3,2.2,2.1,0.8,20,108,23,4,150
Manuel Akanji,2180,2334,93.4,35688,9787,0,0.5,1.8,-0.5,13,214,15,2,148
Joachim Andersen,1731,2209,78.4,37874,14700,3,2.8,2.3,0.2,20,171,17,8,147
Jan Paul van Hecke,2225,2415,92.1,38300,14722,0,0.9,1.1,-0.9,10,156,10,1,147
Alex Iwobi,821,1051,78.1,13556,4268,2,4.7,4,-2.7,49,84,46,8,147
Mohamed Salah,737,1010,73,10826,3213,10,11.8,7.5,-1.8,66,56,68,6,147
Tom Cairney,1126,1272,88.5,17463,3797,4,2.3,2.5,1.7,26,84,25,4,145
Sean Longstaff,991,1241,79.9,15314,4980,2,2.3,3,-0.3,20,82,26,4,145
Dejan Kulusevski,953,1234,77.2,13509,3584,3,7.7,6.7,-4.7,66,55,73,19,144
James Ward-Prowse,1386,1672,82.9,23288,7105,7,7.8,6.3,-0.8,64,137,23,8,144
Lewis Cook,1135,1487,76.3,20294,6864,3,4.3,3,-1.3,46,138,20,4,142
Andrew Robertson,1248,1547,80.7,21306,7231,2,5.4,4.4,-3.4,62,118,26,12,140
Son Heung-min,887,1075,82.5,12123,2822,10,11.8,8.3,-1.8,68,40,65,2,139
Andreas Pereira,912,1295,70.4,16256,5305,7,7.1,5.7,-0.1,84,95,34,11,138
Nélson Semedo,1474,1849,79.7,21759,7306,1,1.7,1.8,-0.7,24,101,25,10,138
Jo_ko Gvardiol,1671,1919,87.1,25207,6169,1,1.4,2.1,-0.4,18,141,16,3,136
Ezri Konsa,1907,2094,91.1,31947,10672,0,0.5,1,-0.5,8,132,14,2,136
Gustavo Hamer,754,1102,68.4,12591,4875,6,6.1,4.6,-0.1,70,94,37,7,135
Pierre Højbjerg,1234,1415,87.2,20132,7286,0,1.2,1.5,-1.2,9,160,12,1,134
Fabian Schär,1762,2128,82.8,36227,14874,1,0.7,1.4,0.3,10,145,18,3,133
James Tarkowski,1195,1550,77.1,25219,10527,1,2.5,2.7,-1.5,22,127,23,3,130
