Player,Weekly Wage
Kevin De Bruyne,"400,000"
Erling Haaland,"375,000"
Casemiro,"400,000"
Mohamed Salah,"375,000"
Rapha‘l Varane,"400,000"
Raheem Sterling,"375,000"
Marcus Rashford,"400,000"
Bernardo Silva,"375,000"
Jack Grealish,"400,000"
Kai Havertz,"375,000"
Gabriel Jesus,"400,000"
Anthony Martial,"375,000"
Jadon Sancho,"400,000"
Mason Mount,"375,000"
Reece James,"400,000"
John Stones,"375,000"
Declan Rice,"400,000"
Martin ¯degaard,"240,000"
Bruno Fernandes,"240,000"
Phil Foden,"225,000"
Virgil van Dijk,"220,000"
Rodri,"220,000"
Thomas Partey,"200,000"
Antony,"200,000"
Thiago Alc‡ntara,"200,000"
Ben Chilwell,"200,000"
Wesley Fofana,"200,000"
Jo_ko Gvardiol,"200,000"
Bukayo Saka,"195,000"
Christopher Nkunku,"195,000"
William Saliba,"190,000"
Harry Maguire,"190,000"
Son Heung-min,"190,000"
Gabriel Martinelli,"180,000"
Ivan Peri_i_,"180,000"
Trent Alexander-Arnold,"180,000"
Enzo Fern‡ndez,"180,000"
Manuel Akanji,"180,000"
Rœben Dias,"180,000"
Marc Cucurella,"175,000"
Kyle Walker,"175,000"
James Maddison,"170,000"
Cristian Romero,"165,000"
Timo Werner,"165,000"
Bruno Guimar‹es,"160,000"
Ansu Fati,"160,000"
Nathan AkŽ,"160,000"
Oleksandr Zinchenko,"150,000"
Christian Eriksen,"150,000"
Luke Shaw,"150,000"
Kalvin Phillips,"150,000"
Lucas Paquet‡,"150,000"
Alexis Mac Allister,"150,000"
Alisson,"150,000"
Ryan Gravenberch,"150,000"
Boubacar Kamara,"150,000"
ClŽment Lenglet,"150,000"
Youri Tielemans,"150,000"
MoisŽs Caicedo,"150,000"
Mateo Kova_i_,"150,000"
Darwin Nœ–ez,"140,000"
Diogo Jota,"140,000"
Moussa Diaby,"130,000"
Ollie Watkins,"130,000"
Abdoulaye DoucourŽ,"130,000"
Bernd Leno,"130,000"
Matheus Nunes,"130,000"
Danny Ings,"125,000"
Kurt Zouma,"125,000"
Jordan Pickford,"125,000"
Aaron Ramsdale,"120,000"
Ben White,"120,000"
AndrŽ Onana,"120,000"
Lisandro Mart’nez,"120,000"
Victor Lindelšf,"120,000"
Alphonse Areola,"120,000"
Jarrod Bowen,"120,000"
Cody Gakpo,"120,000"
Dominik Szoboszlai,"120,000"
Emiliano Mart’nez,"120,000"
John McGinn,"120,000"
Lucas Digne,"120,000"
Alexander Isak,"120,000"
Kieran Trippier,"120,000"
Malang Sarr,"120,000"
Divock Origi,"120,000"
James Ward-Prowse,"115,000"
AndrŽ Gomes,"112,308"
Jorginho,"110,000"
Dejan Kulusevski,"110,000"
Thiago Silva,"110,000"
Eddie Nketiah,"100,000"
Gabriel Magalh‹es,"100,000"
Reiss Nelson,"100,000"
Hugo Lloris,"100,000"
Pierre H¿jbjerg,"100,000"
Dean Henderson,"100,000"
Eberechi Eze,"100,000"
Michael Olise,"100,000"
Edson çlvarez,"100,000"
Andrew Robertson,"100,000"
Jo‘l Matip,"100,000"
Diego Carlos,"100,000"
Leon Bailey,"100,000"
Pau Torres,"100,000"
Tyrone Mings,"100,000"
Matt Targett,"100,000"
Carney Chukwuemeka,"100,000"
Levi Colwill,"100,000"
Mykhailo Mudryk,"100,000"
Amadou Onana,"100,000"
Dele Alli,"100,000"
Dominic Calvert-Lewin,"100,000"
James Tarkowski,"100,000"
Raœl JimŽnez,"100,000"
Ederson,"100,000"
Juli‡n çlvarez,"100,000"
Emerson Palmieri,"95,000"
