Player,Weekly Wage
Kevin De Bruyne,"400000"
Erling Haaland,"375000"
Casemiro,"400000"
Mohamed Salah,"375000"
Raphaël Varane,"400000"
Raheem Sterling,"375000"
Marcus Rashford,"400000"
Bernardo Silva,"375000"
Jack Grealish,"400000"
Kai Havertz,"375000"
Gabriel Jesus,"400000"
Anthony Martial,"375000"
Jadon Sancho,"400000"
Mason Mount,"375000"
Reece James,"400000"
John Stones,"375000"
Declan Rice,"400000"
Martin Ødegaard,"240000"
Bruno Fernandes,"240000"
Phil Foden,"225000"
Virgil van Dijk,"220000"
Rodri,"220000"
Thomas Partey,"200000"
Antony,"200000"
Thiago Alcántara,"200000"
Ben Chilwell,"200000"
Wesley Fofana,"200000"
Joško Gvardiol,"200000"
Bukayo Saka,"195000"
Christopher Nkunku,"195000"
William Saliba,"190000"
Harry Maguire,"190000"
Son Heung-min,"190000"
Gabriel Martinelli,"180000"
Ivan Perišić,"180000"
Trent Alexander-Arnold,"180000"
Enzo Fernández,"180000"
Manuel Akanji,"180000"
Rúben Dias,"180000"
Marc Cucurella,"175000"
Kyle Walker,"175000"
James Maddison,"170000"
Cristian Romero,"165000"
Timo Werner,"165000"
Bruno Guimarães,"160000"
Ansu Fati,"160000"
Nathan Aké,"160000"
Oleksandr Zinchenko,"150000"
Christian Eriksen,"150000"
Luke Shaw,"150000"
Kalvin Phillips,"150000"
Lucas Paquetá,"150000"
Alexis Mac Allister,"150000"
Alisson,"150000"
Ryan Gravenberch,"150000"
Boubacar Kamara,"150000"
Clément Lenglet,"150000"
Youri Tielemans,"150000"
Moisés Caicedo,"150000"
Mateo Kovačič,"150000"
Darwin Núñez,"140000"
Diogo Jota,"140000"
Moussa Diaby,"130000"
Ollie Watkins,"130000"
Abdoulaye Doucouré,"130000"
Bernd Leno,"130000"
Matheus Nunes,"130000"
Danny Ings,"125000"
Kurt Zouma,"125000"
Jordan Pickford,"125000"
Aaron Ramsdale,"120000"
Ben White,"120000"
André Onana,"120000"
Lisandro Martínez,"120000"
Victor Lindelöf,"120000"
Alphonse Areola,"120000"
Jarrod Bowen,"120000"
Cody Gakpo,"120000"
Dominik Szoboszlai,"120000"
Emiliano Martínez,"120000"
John McGinn,"120000"
Lucas Digne,"120000"
Alexander Isak,"120000"
Kieran Trippier,"120000"
Malang Sarr,"120000"
Divock Origi,"120000"
James Ward-Prowse,"115000"
André Gomes,"112308"
Jorginho,"110000"
Dejan Kulusevski,"110000"
Thiago Silva,"110000"
Eddie Nketiah,"100000"
Gabriel Magalhães,"100000"
Reiss Nelson,"100000"
Hugo Lloris,"100000"
Pierre Højbjerg,"100000"
Dean Henderson,"100000"
Eberechi Eze,"100000"
Michael Olise,"100000"
Edson Álvarez,"100000"
Andrew Robertson,"100000"
Joël Matip,"100000"
Diego Carlos,"100000"
Leon Bailey,"100000"
Pau Torres,"100000"
Tyrone Mings,"100000"
Matt Targett,"100000"
Carney Chukwuemeka,"100000"
Levi Colwill,"100000"
Mykhailo Mudryk,"100000"
Amadou Onana,"100000"
Dele Alli,"100000"
Dominic Calvert-Lewin,"100000"
James Tarkowski,"100000"
Raúl Jiménez,"100000"
Ederson,"100000"
Julián Álvarez,"100000"
Emerson Palmieri,"95000"
Jurriën Timber,"90000"
Leandro Trossard,"90000"
Aaron Wan-Bissaka,"90000"
Donny van de Beek,"90000"
Richarlison,"90000"
Odsonne Édouard,"90000"
Mohammed Kudus,"90000"
Tomáš Souček,"90000"
Leander Dendoncker,"90000"
Pablo Sarabia,"90000"
Sven Botman,"90000"
Benoît Badiashile,"90000"
